user_id,book_id,user_rating
4176715,7,3
4326315,7,4
43377498,7,5
4379514,7,4
4391094,7,5
4444249,7,5
44770518,7,4
4514828,7,5
4527753,7,5
4530043,7,3
46068563,7,4
4642710,7,5
4851964,7,5
4866450,7,3
50448,7,3
51221960,7,4
51224285,7,5
5253785,7,4
5293536,7,5
53555116,7,4
541416,7,4
5574208,7,3
5626931,7,5
5651679,7,3
59802997,7,5
6023393,7,4
607804,7,4
6089955,7,5
66670237,7,5
7205303,7,0
721595,7,5
7302570,7,5
7365405,7,4
7367573,7,3
7377888,7,4
75860103,7,5
80115954,7,5
8114361,7,5
83582,7,3
864675,7,5
8734459,7,4
88247398,7,0
8906222,7,4
9098678,7,5
91747222,7,3
9303625,7,5
970632,7,4
1,8,4
104823,8,3
106638288,8,4
106692,8,4
10682103,8,5
12221088,8,4
122647,8,5
131922,8,5
1371882,8,1
1380067,8,5
141080755,8,5
1413439,8,5
14457130,8,0
15335689,8,4
1570669,8,5
1601382,8,4
1654645,8,5
16576124,8,4
16731747,8,3
18384692,8,5
186853,8,4
19871593,8,3
2164884,8,0
21651564,8,5
2225246,8,3
22888935,8,4
23133809,8,5
237469,8,5
24239256,8,5
2431437,8,5
24337665,8,5
25184600,8,5
25375513,8,0
25388909,8,5
